orderID,price,quantity,type,side,fullyFilled
2,74214,304,1,1,0
6,74214,304,1,0,1
7,74210,122,1,1,0
11,74210,122,1,0,1
1,74190,201,1,0,0
11,74190,201,1,1,1
1,74190,9,1,0,1
12,74190,9,1,1,0
3,74190,291,1,0,0
12,74190,291,1,1,1
3,74190,186,1,0,1
16,74190,186,1,1,0
9,74188,94,1,0,0
16,74188,94,1,1,1
7,74210,82,1,1,1
16,74210,82,1,0,0
15,74210,170,1,1,0
16,74210,170,1,0,1
9,74188,353,1,0,1
3,74188,353,1,1,0
0,74187,31,1,0,0
3,74187,31,1,1,1
3,74188,184,1,0,1
24,74188,184,1,1,0
0,74187,180,1,0,0
24,74187,180,1,1,1
25,74188,473,1,0,0
31,74188,473,1,1,1
30,74208,116,0,1,1
21,74213,250,0,1,1
34,74217,445,0,1,1
21,74201,196,1,1,0
34,74201,196,1,0,1
21,74201,302,1,1,1
39,74201,302,1,0,0
38,74202,6,1,1,0
39,74202,6,1,0,1
31,74190,165,1,0,1
39,74190,165,1,1,0
25,74188,25,1,0,1
39,74188,25,1,1,0
33,74188,141,1,0,0
39,74188,141,1,1,1
33,74188,176,1,0,1
39,74188,176,1,1,0
0,74187,131,1,0,1
39,74187,131,1,1,0
13,74187,4,1,0,0
39,74187,4,1,1,1
39,0,0,1,1,1
22,74212,299,0,1,1
42,74196,253,1,0,1
48,74196,253,1,1,0
39,74189,128,1,0,0
48,74189,128,1,1,1
39,74189,64,1,0,1
50,74189,64,1,1,0
25,74188,36,1,0,0
50,74188,36,1,1,1
46,74201,296,1,1,1
51,74201,296,1,0,0
38,74202,183,1,1,0
51,74202,183,1,0,1
36,74183,393,0,0,1
29,74182,362,0,0,1
51,74194,160,1,0,0
57,74194,160,1,1,1
38,74202,48,1,1,1
57,74202,48,1,0,0
53,74208,399,1,1,0
57,74208,399,1,0,1
51,74194,115,1,0,1
57,74194,115,1,1,0
55,74194,89,1,0,0
57,74194,89,1,1,1
54,74184,144,0,0,1
55,74194,180,0,0,1
11,74215,443,0,1,1
18,74186,302,0,0,1
53,74208,8,1,1,1
55,74208,8,1,0,0
18,74208,259,1,1,1
55,74208,259,1,0,0
26,74209,66,1,1,0
55,74209,66,1,0,1
15,74210,271,0,1,1
52,74217,257,0,1,1
16,74219,310,0,1,1
13,74187,202,0,0,1
13,74191,124,1,0,1
59,74191,124,1,1,0
15,74190,21,1,0,0
59,74190,21,1,1,1
61,74194,186,1,0,1
62,74194,186,1,1,0
15,74190,149,1,0,0
62,74190,149,1,1,1
15,74190,133,1,0,1
62,74190,133,1,1,0
29,74189,148,1,0,1
62,74189,148,1,1,0
25,74188,131,1,0,0
62,74188,131,1,1,1
57,74204,183,1,1,1
29,74204,183,1,0,0
52,74207,34,1,1,0
29,74207,34,1,0,1
52,74207,69,1,1,1
29,74207,69,1,0,0
26,74209,52,1,1,1
29,74209,52,1,0,0
34,74210,78,1,1,0
29,74210,78,1,0,1
29,0,0,1,0,1
34,74210,137,1,1,1
29,74210,137,1,0,0
33,74210,43,1,1,0
29,74210,43,1,0,1
45,74218,212,0,1,1
29,74191,117,1,0,1
52,74191,117,1,1,0
45,74190,203,1,0,0
52,74190,203,1,1,1
33,74210,396,1,1,0
29,74210,396,1,0,1
33,74210,1,1,1,1
57,74210,1,1,0,0
44,74210,254,1,1,1
57,74210,254,1,0,0
23,74211,117,1,1,1
57,74211,117,1,0,0
54,74211,101,1,1,0
57,74211,101,1,0,1
54,74211,78,1,1,1
23,74211,78,1,0,0
30,74212,194,1,1,0
23,74212,194,1,0,1
45,74190,124,1,0,1
23,74190,124,1,1,0
25,74188,113,1,0,0
23,74188,113,1,1,1
42,74213,100,0,1,1
25,74188,20,1,0,1
23,74188,20,1,1,0
53,74188,153,1,0,0
23,74188,153,1,1,1
53,74188,79,1,0,1
23,74188,79,1,1,0
29,74188,412,1,0,0
23,74188,412,1,1,1
43,74219,462,0,1,1
42,74207,116,1,1,1
63,74207,116,1,0,0
30,74212,92,1,1,0
63,74212,92,1,0,1
61,74189,403,1,0,0
68,74189,403,1,1,1
